index,preprocessedText
35,appli knowledg chine histori especi main social polit develop influenc develop chine medicin understand CM basic theori cmba cours accredit standard 6 5 3 explain import huangdi neij suwen develop chine medicin theori includ key concept a qi yin yang five phase wu xing describ applic clinic practic identifi gener featur function intern organ channel system basic physiolog substanc qi blood fluid essenc spirit mind describ explain the gener featur major acupunctur point categori the main channel surfac pathway order outlin the basic indic their use the treatment diseas cmba cours accredit standard 6 6 1 utilis their understand chine medic model explain the origin develop ill pathogenesi patho mechan the chine medic approach treat ill maintain health recognis simpl chine charact relev the theori of chine medicin demonstr the pin yin system use write pronounc chine medicin term cmba cours accredit standard 6 5 1 6 5 2 develop understand particip inequit groupwork practic devlop reflect their academ profession interperson commun skill appli inform retriev academ literaci written commun skill group learn activ academ report
36,understand relat reflect diseas mechan aetiolog patholog tcm western medicin gynaecolog diseas male reproduct disord surgic diseas common dermatolog diseas understand appli knowledg skill relat the diagnosi differenti diagnosi treatment the chine medicin perspect the diseas understand appli key point diagnosi differenti diagnosi current therapi western medicin abov diseas develop commun skill are both gener specif tcm clinic practic
37,explain analyz diseas mechan aetiolog patholog variou diseas state within categori intern medicin cover the subject correctli diagnos chine medic western medic diseas state differenti tcm pattern establish appropri treatment protocol acupunctur or chine herbal medicin these diseas commun clearli differ audienc regard tcm clinic practic
38,differenti major formula categori correctli appli chine herbal formula individu medicin accord tcm pattern identif treatment strategi explain structur chine herbal formula synergist role individu pair medicin achiev within formula evalu chine herbal formula practic knowledg theori underpin enabl safe applic chine herbal formula dispens includ known precaut contraind explain the relev theori principl chine medicin substanc process method pao zhi term treatment strategi clinic applic identifi the main form formula prepar with patient care mind explain appropri herbal formula administr dosag includ action take the event an unexpect reaction recognis utilis common chine english term use prescrib dispens the gener practic chine herbal formula construct method administr appli tcm pattern differenti accur order select appropri chine herbal formula accord the bian zheng lun zhi identifi pattern determin treatment model appli knowledg chine herbal formula clinic reason critic evalu case note determin the appropri treatment principl prescript appli group work commun skill reflect evalu give feedback peer learn activ
39,differenti major categori correctli appli chine herbal formula individu medicin accordingto tcm pattern identif treatment strategi explain structur chine herbal formula synergist role individu pair medicin achiev within formula evalu safe practic chine herbal formula knowledg theori underpin enabl safe applic chine herbal formula dispens includ known precaut contraind explain the relev theori principl chine medicin substanc process method pao zhi term treatment strategi clinic applic identifi the main form formula prepar with patient care mind explain appropri herbal formula administr dosag includ action take the event an unexpect reaction recognis utilis common chine english term use prescrib dispens the gener practic chine herbal formula construct method administr appli tcm pattern differenti accur order select appropri chine herbal formula accord the bian zheng lun zhi identifi pattern determin treatment model appli knowledg chine herbal formula clinic reason critic evalu case note determin the appropri treatment principl prescript appli group work commun skill reflect evalu give feedback peer learn activ
40,understand scientif knowledg chine herbal medicin specif emphasi pharmacolog action action mechan clinic applic understand toxicolog inform chine medicin herb ensur safe use australia understand interact chine herb orthodox drug mechan involv herb drug interact ensur safe prescript herb patient use western medic introduc special herbal prepar techniqu e g medicin wine tinctur understand scientif methodolog use evalu the activ constitu chine herb maintain current knowledg chine herbal medicin research use internet skill
41,appli correct treatment protocol commensur level 6 clinic train demonstr asept techniqu requir practic acupunctur tuina prepar herbal prescript demonstr compet use profession commun skill the patient fellow student supervis practition analys clinic practition chine diagnost rational creat clinic manag plan part run busi creat person manag plan identifi person goal strategi your postgradu practic creat practition resourc portfolio develop learn contract identifi person learn object strategi outcom measur identifi diagnost differenti rang diseas condit common traumatolog paediatr both chine medicin western biomed perspect identifi the CM biomed treatment principl each the main diseas traumatolog paediatr explain clinic consider relat the gener health treatment child demonstr the principl method health preserv enhanc use CM demonstr abil meet maintain profession certif currenc
42,demonstr profession interperson commun skill relat patient fellow student supervisor appli team work skill work effect a team member engag learn enhanc profession compet identifi act upon risk factor within clinic environ perform primari problem focus patient question listen observ includ tongu pul examin complet accur ethic case histori take client record keep clinic placement accur locat area point ear scalp ankl wrist abdomen microsystem extraordinari non channel point identifi clinic applic accord their respect histor theoret develop demonstr the compet safe effect applic manual modal includ cup guasha bleed fire needl plum blossom needl moxibust appli advanc needl manipul techniqu requir safe effect acupunctur practic articul the integr applic filiform needl techniqu other manual modal
43,recognis specif situat both scenario base workshop activ dure clinic placement requir demonstr use profession therapeut commun skill deal patient peer clinic supervisor commun contribut effect team member engag learn enhanc profession compet identifi act upon risk factor within clinic environ perform a primari problem focus physic examin demonstr abil recognis patholog condit distinguish relev irrelev patient cue interpret diagnost inform appli tcm diseas pattern differenti bianb bianzheng accur locat acupunctur point develop understand their clinic function describ perform basic intermedi needl manipul techniqu requir safe effect acupunctur practic describ perform correctli appli orthopaed ass method tcm extern therapi includ tuina techniqu differ bodi region
44,commun work effect a member a team engag learn enhanc profession compet identifi locat acupoint use oper defin locat method procedur correctli appli knowledg procedur reduc potenti risk harm advers event needl sensit point appli chine medicin manual therapi differ bodi region describ appli knowledg jing luo pathway associ acupoint treatment context interpret analys critic reflect clinic reason process use knowledg chine medicin theori the literatur identifi treatment principl develop treatment protocol acupunctur other chine medicin manual therapi describ demonstr the skill requir safe effect practis acupunctur other chine medicin manual therapi accord the relev theori principl treatment chine medicin demonstr the correct applic tuina techniqu their appropri applic differ bodi region
45,locat use construct tape measur surfac palpat 60 command point 24 back shu front Mu point organ approxim 139 major point identifi palpat mark surfac anatom structur need locat point identifi high risk point needl justifi the risk identif their substructur use correct anatom terminolog the underli musculoskelet neural cardiovascular structur the point suggest altern needl strategi the high risk point includ depth angl list the precaut contra indic the acupunctur point use correct radiograph terminolog differenti plain film densiti relat skelet soft tissu identifi radiograph view interpret common structur anomali interpret sampl radiograph report explain the clinic indic request a CT mri ultrasound nuclear imag techniqu
46,outlin organ structur function chang common disord each major bodi system identifi integr system patholog condit distinguish development aspect each system disord appli knowledg pathophysiolog analys diseas differ scenario review the diagnost measur disord describ the basic principl treatment treatment goal commun effect way appropri the disciplin contribut effect a team
47,appli understand natur practic applic clinic chine medicin within ut chine medicin clinic appli analyt problem solv critic think understand applic scientif methodolog it appli treatment outcom evid base practic appli rang technic person practic profession skill appropri ethic way within chine medicin context e g time manag person organis teamwork computeris data entri herbal dispensari skill data handl accord legal privaci law demonstr quantit graphic literaci skill analys critic revis treatment process base current or desir outcom engag high level self reflect commun appropri english languag speak comprehens academ english read write demonstr an abil think work creativ self start understand the applic scientif skill unfamiliar situat
48,appli understand natur practic applic clinic chine medicin within ut chine medicin clinic appli analyt problem solv critic think understand applic scientif methodolog it appli treatment outcom evid base practic appli rang technic person practic profession skill appropri ethic way within chine medicin context e g time manag person organis teamwork computeris data entri herbal dispensari skill data handl accord legal privaci law demonstr quantit graphic literaci skill analys critic revis treatment process base current or desir outcom engag high level self reflect commun appropri english languag speak comprehens academ english read write demonstr an abil think work creativ self start understand the applic scientif skill unfamiliar situat
49,appli appropri interperson profession commun skill clinic encount appli academ inform literaci skill investig chine medicin disciplinari sourc intern injuri cold damag warm diseas system pattern identif method treatment appli theoret inform case base problem solv practic profession skill includ diagnost reason teamwork written onlin commun skill interpret clinic evid analys interpret diagnost inform gather use four method identifi clinic signific sign symptom differenti ill pattern explain aetiolog transmiss patho mechan main intern organ ill pattern extern pathogen six stage four aspect three burner ill pattern analys the similar differ intern extern diagnost system patho mechan treatment strategi appli the intern organ zangfu six stage liu jing four aspect wei qi ying xue three burner san jiao formul diagnos treatment principl treatment plan specifi acupunctur herbal prescript individu case accord the ill pattern identifi justifi the prescript treatment method achiev the principl treatment
50,perform sequenc problem focus interview four method diagnosi si zhen elicit requir inform patient current past histori relev present health issu perform complet accur problem focus physic examin includ tongu pul examin use chine medicin interpret analys inform gather interview physic examin use their knowledg includ applic differenti diseas bian bing eight principl pattern ba gang bian zheng chine medicin diagnos present health issu identifi relev treatment principl lun zhi inform the diagnosi the present health issu make treatment recommend acupunctur other chine medicin manual therapi develop acupunctur chine herbal medicin treatment life style suggest address diseas bian bing eight principl pattern ba gang bian zheng associ a case studi critic analys the cognit process clinic reason underli the diagnost treatment phase a case studi
51,appli use differ form commun written oral appropri effect identifi major therapeut categori tcm materia medica describ tast natur channel tropism indic function individu medicin substanc explain theori behind applic select princip medicin substanc treatment certain tcm ill pattern describ method herb prepar process pao zhi explain rational behind specif process method method alter tast natur therapeut action specif medicin substanc compar their origin raw form explain combin medicin substanc from intra inter categor perspect appli treatment ill pattern illustr how medicin substanc pair employ therapeut construct chine herbal medicin chm formula recognis the contraind toxic issu precaut relev chine medicin substanc the regul guidelin restrict substanc a the cite tga cmba restrict guidelin identifi select write the chine charact common term use chm the pharmacolog scientif botan nomenclatur of select medicin substanc identifi recognis dispens terminolog dispensari procedur safe storag mainten record keep
52,identifi indic data relev given sustain object analys make certain monitor evalu framework le appropri differ sustain context reflect how monitor evalu framework practic may social inclus or marginalis ass strength weak differ type monitor evalu practic includ qualit quantit data method differ purpos appli articul develop evalu monitor skill profession context appli skill plan write present assign individu in group
53,
54,
55,
56,demonstr coher nuanc understand the cultur linguist social situat the societi examin employ advanc effect commun skill english anoth languag appli intercultur understand critic reflect upon linguist cultur behaviour valu diver cultur design conduct independ small scale research linguist cultur inquiri
57,identifi explain key concept term practic sustain analys differ standpoint prioriti framework approach sustain reflect one own ident worldview develop self awar sustain environment action profession pathway recognis specif issu sustain relat indigen peopl critic examin domin interpret sustain their possibl impact marginalis social group appli skill plan write assign individu in group
58,
59,critic engag intercultur commun theori framework appli theori analys diver cultur situat analys intercultur commun practic the australian context reflect own percept intercultur encount design conduct independ ethic small scale research an aspect australian cultur societi commun effect appropri written oral academ english
60,locat explain cultur polit econom background contemporari globalis analys histori globalis affect indigen peopl analys one own belief assumpt expect globalis appli skill plan write assign oral present individu in group
61,identifi analys interrel multipl level govern their connect global issu event understand evalu histori capac limit multilater institut govern global problem identifi new altern approach includ intersect region organis non government organis privat govern citizen led social movement research analys evalu select global issu theoret approach interdisciplinari perspect work reflect independ group activ requir research analysi qualit quantit inform present complex idea oral written visual form in manner suit the audienc
62,identifi variou process globalis oppos anti globalis entiti rel cultur ass impact upon local emerg globalis form cultur analys globalis cultur phenomenon a varieti theoret perspect includ issu outsid recognis centr global cultur author reflect one own posit a product particip cultur globalis approach abov a self awar perspect commun complex idea a coher profession access form oral and in write
63,identifi differ world econom activ local global relat order understand urban economi econom region trend econom chang condit uneven econom develop analys transform globalis econom activ theoret perspect order understand caus chang pattern develop impact peopl place reflect one own posit develop self awar how globalis the economi unevenli facilit connect creat opportun challeng possibl commun complex idea clariti creativ profession written assign oral present
64,identifi variou process globalis anti globalis entiti rel cultur ass impact upon local emerg globalis form cultur analys globalis cultur phenomenon a varieti theoret perspect includ issu outsid recognis centr global cultur author reflect one own posit a product particip cultur globalis approach abov a self awar perspect commun complex idea a coher profession access form oral and in write
65,identifi differ world econom activ local global relat order understand urban economi econom region trend econom chang condit uneven econom develop analys transform globalis econom activ theoret perspect order understand caus chang pattern develop impact peopl place reflect one own posit develop self awar how globalis the economi unevenli facilit connect creat opportun challeng possibl commun complex idea clariti creativ profession written assign oral present
66,locat explain cultur polit econom background contemporari globalis analys histori globalis affect indigen peopl analys one own belief assumpt expect globalis appli skill plan write assign oral present individu in group
67,identifi differ econom social cultur polit dimens a global problem analys differ approach address global issu examin global problem play local situat develop skill in written visual oral present argument base evid engag profession extern organis sensit local commun
68,use varieti research method research independ global phenomenon synthes understand global studi studi the major workplac experi gener argument global draw connect everyday work phenomenon global process global theori develop argument rational reflect critic workplac cultur learn career
69,identifi analys interrel multipl level govern their connect global issu event understand evalu histori capac limit multilater institut govern global problem identifi new altern approach includ intersect region organis non government organis privat govern citizen led social movement research analys evalu select global issu theoret approach interdisciplinari perspect work reflect independ group activ requir research analysi qualit quantit inform present complex idea oral written visual form in manner suit the audienc
70,critic engag intercultur commun theori framework appli theori analys diver cultur situat understand intercultur commun practic the australian context reflect own percept intercultur encount design conduct independ ethic small scale research aspect australian cultur societi commun effect appropri written and oral academ english
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,integr cognit technic creativ skill critiqu advocaci health care polici regul profession ethic nurs practition standard practic 4 2 explain underli theori model content legal ethic regul nurs profess it relat advanc practic nurs nurs practition standard practic 3 3 apprais underli theori model inform contemporari health care ethic profession regul it appli advanc practic nurs nurs practition standard practic 2 1 2 2 transform complex inform concept an effect demonstr the legal ethic requir clinic decis make evalu practic advanc practic nurs nurs practition standard practic 2 1 2 2 3 3 critic apprais health care servic demonstr clinic leadership the design evalu advanc nurs nurs practition servic model practition standard practic 3 3 4 2 critic apprais the outcom their practic particip reflect upon review colleagu supervisor and those whom provid leadership nurs practition standard practic 4 1
82,analys practic duti care accord legisl regul relat medicin manag prescrib administr pharmacolog non pharmacolog therapeut intervent ahpra 3 3 analys profession integr ethic conduct relat therapeut product manufactur pharmaceut organis ahpra 2 1 3 1 explain principl good prescrib practic use step wise approach consid risk benefit medicin prescrib ahpra 2 3 3 1 recommend justifi select integr both pharmacolog non pharmacolog therapeut intervent the manag plan consult the patient client collabor the pharmacist other health provid requir ahpra 2 2 2 3 3 1 3 2 prescrib therapeut intervent base accur knowledg patient characterist research evid concurr therapi the person receiv treatment ahpra 1 1 1 2 2 2 2 3 3 1 develop person formulari base best evid the common condit encount their specialti area practic ahpra 2 3 3 1 3 3
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,explain criminolog concept theori histor contemporari perspect disciplin alli profess describ function crimin justic system it key player critic analys explain institut framework princip site crimin justic intervent their effect critic examin crime crime respons their impact vulner marginalis group includ indigen australian use the work major theorist author inform criminolog understand crime crime respons develop profession capabl be profession all commun conduct other through the present assign
94,
95,critic ass research method use learn societi cultur than one own evalu outcom origin human social scienc research within intern context design commun ethic qualit research plan build knowledg societi cultur than one own
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,use appli knowledg intercultur commun theori concept framework understand percept the role discours represent the australian context includ indigen peopl relat aspect reflect critic one own percept behaviour intercultur commun appli profession context design conduct independ ethic small scale research aspect intercultur commun present assign an appropri profession and intercultur regist
108,use appli knowledg intercultur commun theori concept framework understand percept the role discours represent the australian context includ indigen peopl relat aspect reflect critic one own percept behaviour intercultur commun appli profession context design conduct independ ethic small scale research aspect intercultur commun present assign an appropri profession and intercultur regist
109,commun effect appropri written oral academ profession english critic analys behaviour norm valu host home cultur pay particular attent work work place relat practic interact evalu cultur base assumpt how are inform reflect how learn occur oversea program articul the valu intern experi career profession purpos
110,commun effect appropri written oral academ profession english critic analys behaviour norm valu host home cultur pay particular attent work work place relat practic interact evalu cultur base assumpt how are inform reflect how learn occur oversea program articul the valu intern experi career profession purpos
111,demonstr broad coher understand histor polit cultur social or econom situat host societi develop oral written commun skill both english the languag of the host societi develop intercultur understand critic reflect upon the behaviour valu host home cultur design conduct independ small scale research an intern set
112,demonstr broad coher understand histor polit cultur social or econom situat host societi commun effect both english the languag of the host societi demonstr intercultur understand critic reflect upon the behaviour valu host home cultur design conduct independ small scale research an intern set
113,demonstr broad coher understand histor polit cultur social or econom situat host societi develop oral written commun skill both english the languag of the host societi develop intercultur understand critic reflect upon the behaviour valu host home cultur design conduct independ small scale research an intern set
114,demonstr broad coher understand histor polit cultur social or econom situat host societi develop oral written commun skill both english the languag of the host societi develop intercultur understand critic reflect upon the behaviour valu host home cultur design conduct independ small scale research an intern set
115,demonstr broad coher understand histor polit cultur social or econom situat host societi develop oral written commun skill both english the languag of the host societi develop intercultur understand critic reflect upon the behaviour valu host home cultur design conduct independ small scale research an intern set
116,demonstr broad coher understand histor polit cultur social or econom situat host societi develop oral written commun skill both english the languag of the host societi develop intercultur understand critic reflect upon the behaviour valu host home cultur design conduct independ small scale research an intern set
117,demonstr broad coher understand histor polit cultur social or econom situat host societi develop oral written commun skill both english the languag of the host societi develop intercultur understand critic reflect upon the behaviour valu host home cultur design conduct independ small scale research an intern set
118,demonstr broad coher understand histor polit cultur social or econom situat host societi develop oral written commun skill both english the languag of the host societi develop intercultur understand critic reflect upon the behaviour valu host home cultur design conduct independ small scale research an intern set
119,demonstr broad coher understand histor polit cultur social or econom situat host societi develop oral written commun skill both english the languag of the host societi develop intercultur understand critic reflect upon the behaviour valu host home cultur design conduct independ small scale research an intern set
120,demonstr broad coher understand histor polit cultur social or econom situat host societi develop oral written commun skill both english the languag of the host societi develop intercultur understand critic reflect upon the behaviour valu host home cultur design conduct independ small scale research an intern set
121,demonstr broad coher understand histor polit cultur social or econom situat host societi develop oral written commun skill both english the languag of the host societi develop oral written commun skill both english the languag of the host societi design conduct independ small scale research an intern set
122,demonstr broad coher understand histor polit cultur social or econom situat host societi develop oral written commun skill both english the languag of the host societi develop intercultur understand critic reflect upon the behaviour valu host home cultur design conduct independ small scale research an intern set
123,demonstr broad coher understand histor polit cultur social or econom situat host societi develop oral written commun skill both english the languag of the host societi develop intercultur understand critic reflect upon the behaviour valu host home cultur design conduct independ small scale research an intern set
124,demonstr broad coher understand histor polit cultur social or econom situat host societi develop oral written commun skill both english the languag of the host societi develop intercultur understand critic reflect upon the behaviour valu host home cultur design conduct independ small scale research an intern set
125,demonstr broad coher understand histor polit cultur social or econom situat host societi develop oral written commun skill both english the languag of the host societi develop intercultur understand critic reflect upon the behaviour valu host home cultur design conduct independ small scale research an intern set
126,
127,
128,comprehend reflect upon analys complex text spoken written italian produc complex text spoken written italian demonstr intercultur awar across two more cultur context
129,comprehend reflect upon analys complex text spoken written italian produc complex text spoken written italian demonstr intercultur awar across two more cultur context
130,comprehend reflect upon analys intermedi text spoken written italian produc intermedi advanc text spoken written italian demonstr intercultur awar across two more cultur context
131,comprehend reflect upon analys intermedi text spoken written italian produc intermedi text spoken written italian demonstr intercultur awar across two more cultur context
132,comprehend respond basic text oral written languag produc basic text oral written languag demonstr intercultur awar across two more cultur context
133,comprehend respond basic text oral written languag produc basic text oral written languag demonstr intercultur awar across two more cultur context
134,comprehend respond simpl text oral written languag produc basic text oral written languag demonstr intercultur awar across two more cultur context
135,comprehend respond simpl text oral written languag produc simpl text oral written languag demonstr intercultur awar across two more cultur context
136,commun effect appropri written oral academ profession english critic analys behaviour norm valu host home cultur pay particular attent languag linguist practic evalu cultur base assumpt how are inform reflect how learn occur oversea program articul the valu intern experi career profession purpos
137,commun effect appropri written oral academ profession english critic analys behaviour norm valu host home cultur pay particular attent current social cultur issu evalu cultur base assumpt how are inform reflect how learn occur oversea program articul the valu intern experi career profession purpos
138,demonstr broad coher understand histor polit cultur social or econom situat host societi develop oral written commun skill both english the languag of the host societi develop intercultur understand critic reflect upon the behaviour valu host home cultur design conduct independ small scale research an intern set
139,demonstr broad coher understand histor polit cultur social or econom situat host societi develop oral written commun skill both english the languag of the host societi develop intercultur understand critic reflect upon the behaviour valu host home cultur design conduct independ small scale research an intern set
140,commun effect appropri written oral academ profession english critic analys behaviour norm valu host home cultur pay particular attent languag linguist practic evalu cultur base assumpt how are inform reflect how learn occur oversea program articul the valu intern experi career profession purpos
141,commun effect appropri written oral academ profession english critic analys behaviour norm valu host home cultur pay particular attent current social cultur issu evalu cultur base assumpt how are inform reflect how learn occur oversea program articul the valu intern experi career profession purpos
142,demonstr broad coher understand histor polit cultur social or econom situat host societi develop oral written commun skill both english the languag of the host societi develop intercultur understand critic reflect upon the behaviour valu host home cultur design conduct independ small scale research an intern set
143,demonstr broad coher understand histor polit cultur social or econom situat host societi commun effect both english the languag of the host societi demonstr intercultur understand critic reflect upon the behaviour valu host home cultur design conduct independ small scale research an intern set
144,demonstr broad coher understand histor polit cultur social or econom situat host societi develop oral written commun skill both english the languag of the host societi develop intercultur understand critic reflect upon the behaviour valu host home cultur design conduct independ small scale research an intern set
145,demonstr broad coher understand histor polit cultur social or econom situat host societi develop oral written commun skill both english the languag of the host societi develop intercultur understand critic reflect upon the behaviour valu host home cultur design conduct independ small scale research an intern set
146,demonstr broad coher understand histor polit cultur social or econom situat host societi develop oral written commun skill both english the languag of the host societi develop intercultur understand critic reflect upon the behaviour valu host home cultur design conduct independ small scale research an intern set
147,demonstr broad coher understand histor polit cultur social or econom situat host societi develop oral written commun skill both english the languag of the host societi develop intercultur understand critic reflect upon the behaviour valu host home cultur design conduct independ small scale research an intern set
148,demonstr broad coher understand histor polit cultur social or econom situat host societi develop oral written commun skill both english the languag of the host societi develop intercultur understand critic reflect upon the behaviour valu host home cultur design conduct independ small scale research an intern set
149,demonstr broad coher understand histor polit cultur social or econom situat host societi develop oral written commun skill both english the languag of the host societi develop intercultur understand critic reflect upon the behaviour valu host home cultur design conduct independ small scale research an intern set
150,demonstr broad coher understand histor polit cultur social or econom situat host societi develop oral written commun skill both english the languag of the host societi develop intercultur understand critic reflect upon the behaviour valu host home cultur design conduct independ small scale research an intern set
151,demonstr broad coher understand histor polit cultur social or econom situat host societi commun effect both english the languag of the host societi demonstr intercultur understand critic reflect upon the behaviour valu host home cultur design conduct independ small scale research an intern set
152,demonstr broad coher understand histor polit cultur social or econom situat host societi develop oral written commun skill both english the languag of the host societi develop intercultur understand critic reflect upon the behaviour valu host home cultur design conduct independ small scale research an intern set
153,
154,demonstr broad coher understand histor polit cultur social or econom situat host societi develop oral written commun skill both english the languag of the host societi develop intercultur understand critic reflect upon the behaviour valu host home cultur design conduct independ small scale research an intern set
155,demonstr broad coher understand histor polit cultur social or econom situat host societi develop oral written commun skill both english the languag of the host societi develop intercultur understand critic reflect upon the behaviour valu host home cultur design conduct independ small scale research an intern set
156,demonstr broad coher understand histor polit cultur social or econom situat host societi develop oral written commun skill both english the languag of the host societi develop intercultur understand critic reflect upon the behaviour valu host home cultur design conduct independ small scale research an intern set
157,commun effect appropri written oral academ profession english critic analys behaviour norm valu host home cultur pay particularattent languag linguist practic evalu cultur base assumpt how are inform reflect how learn occur oversea program articul the valu intern experi career profession purpos
158,analys contemporari canada quebec their histor polit cultur social econom dimens a local nation intern level adopt approach methodolog framework engag intercultur research appli knowledg canada quebec one research demonstr critic problem solv research led analyt skill context canadian québécoi cultur cultur intercultur chang independ design engag ethic output effect commun english the result independ research adopt follow academ good practic includ ethic practic proper referenc procedur
159,analys contemporari latin america it histor polit cultur social econom dimens a local nation intern level adopt approach methodolog framework engag intercultur research appli knowledg latin america their research demonstr critic problem solv research led analyt skill the context the latin america cultur cultur intercultur chang independ design engag ethic output effect commun english the result their independ research oral in written form adopt follow academ good practic includ ethic practic proper referenc procedur
160,analys contemporari spain it histor polit cultur social econom dimens a local nation intern level adopt approach methodolog framework engag intercultur research appli knowledg spain their research demonstr critic problem solv research led analyt skill context spain cultur cultur intercultur chang independ design engag ethic output effect commun english the result their independ research oral in written form adopt follow academ good practic includ ethic practic proper referenc procedur
161,analys contemporari itali it histor polit cultur social econom dimens a local nation intern level adopt approach methodolog framework engag intercultur research appli knowledg itali their research demonstr critic problem solv research led analyt skill context itali cultur cultur intercultur chang independ design engag ethic output effect commun english the result their independ research written form adopt follow academ good practic includ ethic practic proper referenc procedur
162,analys contemporari germani it histor polit cultur social econom dimens nation continent intern level adopt approach methodolog framework engag intercultur research appli knowledg germani their research demonstr critic problem solv research led analyt skill context germani cultur cultur intercultur chang independ design engag output effect commun english the result their independ research oral in written form adopt follow academ good practic includ ethic practic proper referenc procedur
163,analys contemporari franc it histor polit cultur social econom dimens a local nation intern level adopt approach methodolog framework engag intercultur research appli knowledg franc their research demonstr critic problem solv research led analyt skill context franc cultur cultur intercultur chang independ design engag ethic output effect commun english the result their independ research oral in written form adopt follow academ good practic includ ethic practic proper referenc procedur
164,analys contemporari switzerland it histor polit cultur social econom dimens a local nation intern level adopt approach methodolog framework engag intercultur research appli knowledg switzerland their research demonstr critic problem solv research led analyt skill context switzerland cultur cultur intercultur chang independ design engag ethic output effect commun english the result their independ research oral in written form adopt follow academ good practic includ ethic practic proper referenc procedur
165,analys contemporari japan it histor polit cultur social econom dimens a local nation intern level adopt approach methodolog framework engag intercultur research appli knowledg japan their research demonstr critic problem solv research led analyt skill context japanes cultur cultur intercultur chang independ design engag ethic output effect commun english the result their independ research oral in written form adopt follow academ good practic includ ethic practic proper referenc procedur
166,analys contemporari china it histor polit cultur social econom dimens a local nation intern level adopt approach methodolog framework engag intercultur research appli knowledg china their research demonstr critic problem solv research led analyt skill context china cultur cultur intercultur chang independ design engag ethic output effect commun english the result their independ research oral in written form adopt follow academ good practic includ ethic practic proper referenc procedur
167,comprehend respond complex text oral written german produc complex text oral written german demonstr intercultur awar across two more cultur context
168,comprehend respond complex text oral written german produc complex text oral written german demonstr intercultur awar across two more cultur context
169,comprehend respond complex text oral written german produc complex text oral written german demonstr intercultur awar across two more cultur context
170,comprehend respond complex text oral written german produc complex text oral written german demonstr intercultur awar across two more cultur context
171,comprehend respond basic text oral written german produc basic text oral written german demonstr intercultur awar across two more cultur context
172,comprehend respond basic text oral written german produc intermedi text oral written german demonstr intercultur awar across two more cultur context
173,comprehend respond simpl text oral written german produc simpl text oral written german demonstr intercultur awar across two more cultur context
174,comprehend respond simpl text oral written german produc basic text oral written german demonstr intercultur awar across two more cultur context
